Index,Layer,Text,X,Y,Z
271,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-217.150998,-20.860459,0.000000
272,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-217.171553,-20.681135,0.000000
273,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-220.062677,-21.288700,0.000000
274,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-218.282183,-18.207292,0.000000
275,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-217.299183,-23.829437,0.000000
276,LWK-TXT,"AD 
(CARPARK)",-217.524970,-10.796199,0.000000
277,0,EVMC,-52.728659,-26.966866,0.000000
278,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH800.0,-111.345321,-5.517733,0.000000
279,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-111.324767,-5.697057,0.000000
280,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-111.345321,-5.517733,0.000000
281,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-114.236446,-6.125298,0.000000
282,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-112.455952,-3.043890,0.000000
283,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-111.472952,-8.666035,0.000000
284,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH800.0,-114.594868,-5.969789,0.000000
285,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-114.574314,-6.149113,0.000000
286,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-114.594868,-5.969789,0.000000
287,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-117.485993,-6.577354,0.000000
288,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-115.705499,-3.495946,0.000000
289,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-114.722499,-9.118092,0.000000
290,LWK-TXT,MASTER TOWN GAS ROOM,-118.559316,5.443359,0.000000
291,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH800.0,-37.625741,5.858464,0.000000
292,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-37.621391,6.038910,0.000000
293,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-37.625741,5.858464,0.000000
294,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-34.678478,6.061876,0.000000
295,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-36.866566,3.255187,0.000000
296,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-37.065534,8.959152,0.000000
297,0_INFO FOR COORDINATION ONLY,B1 PLAN 1:100,-248.729685,60.313226,0.000000
298,0_INFO FOR COORDINATION ONLY,20250313,-248.729685,56.671459,0.000000
299,0,0.00,-74.658512,-68.128587,0.000000
300,0,FL.,-73.080647,-67.922097,0.000000
301,0,0.00,-74.786229,-67.152656,0.000000
302,0,FL.,-73.208363,-66.946167,0.000000
303,0,0.00,-66.056910,-78.013632,0.000000
304,0,FL.,-64.465622,-78.003602,0.000000
305,0,0.00,-54.257034,-83.108201,0.000000
306,0,FL.,-52.665715,-83.108201,0.000000
307,0,0.00,-41.232673,-83.357743,0.000000
308,0,FL.,-39.641354,-83.357743,0.000000
309,0,0.00,-29.270665,-78.706072,0.000000
310,0,FL.,-27.679346,-78.706072,0.000000
311,0,0.00,-20.492369,-68.652464,0.000000
312,0,FL.,-18.901050,-68.652464,0.000000
313,0,0.00,-16.480894,-56.540556,0.000000
314,0,FL.,-14.889575,-56.540556,0.000000
315,0,0.00,-17.244134,-43.706019,0.000000
316,0,FL.,-15.652814,-43.706019,0.000000
317,0,0.00,-18.944246,-30.695164,0.000000
318,0,FL.,-17.352927,-30.695164,0.000000
319,0,0.00,-24.873356,-19.166268,0.000000
320,0,FL.,-23.282037,-19.166268,0.000000
321,0,0.00,-35.889922,-12.332156,0.000000
322,0,FL.,-34.298603,-12.332156,0.000000
323,0,0.00,-47.309823,-11.361235,0.000000
324,0,FL.,-45.718504,-11.361235,0.000000
325,CMW-SS-BEAM-SIZE,\C1;B1XX(1500x800),-215.615030,-58.573917,0.000000
326,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1500),-169.120670,-78.821724,0.000000
327,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1500),-234.292993,-78.711614,0.000000
328,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1500),-86.132982,-72.786811,0.000000
329,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1500),-236.607849,-59.367894,0.000000
330,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1500),-239.205480,-36.355003,0.000000
331,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1500),-241.361717,-18.274836,0.000000
332,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1000),-163.466891,6.603074,0.000000
333,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1000),-131.879237,11.143373,0.000000
334,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1000),-77.098966,18.815573,0.000000
335,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1000),-36.531825,23.662191,0.000000
